Train_No,Confirmed,Waiting
1658,No,No
1659,No,No
1660,Yes,Yes
1661,No,Yes
1662,Yes,Yes
1663,No,Yes
1664,No,Yes
1665,Yes,No
1666,Yes,No
1667,Yes,Yes
1668,Yes,No
1669,Yes,No
1670,Yes,No
1671,No,Yes
1672,Yes,Yes
1673,Yes,No
1674,Yes,No
1675,Yes,No
1676,No,No
1677,No,Yes
1678,Yes,Yes
1679,No,Yes
1680,Yes,Yes
1681,No,Yes
1682,No,Yes
1683,Yes,No
1684,Yes,No
1685,No,Yes
1686,No,No
1687,Yes,Yes
1688,No,Yes
1689,Yes,Yes
1690,Yes,No
1691,No,Yes
1692,No,No
1693,No,Yes
1694,Yes,Yes
1695,Yes,No
1696,No,No
1697,No,Yes
1698,No,Yes
1699,No,No
1700,Yes,Yes
1701,Yes,Yes
1702,Yes,Yes
1703,No,No
1704,No,Yes
1705,Yes,No
1706,No,Yes
1707,Yes,Yes
1708,No,Yes
1709,No,No
1710,No,No
1711,Yes,Yes
1712,Yes,Yes
1713,Yes,No
1714,No,No
1715,Yes,No
1716,No,Yes
1717,Yes,No
1718,No,Yes
1719,Yes,No
1720,Yes,Yes
1721,Yes,No
1722,No,Yes
1723,Yes,Yes
1724,No,Yes
1725,Yes,Yes
1726,No,No
1727,No,Yes
1728,No,No
1729,No,No
1730,No,No
1731,No,No
1732,No,Yes
1733,No,Yes
1734,Yes,No
1735,No,No
1736,No,Yes
1737,Yes,Yes
1738,No,No
1739,Yes,No
1740,Yes,Yes
1741,Yes,No
1742,Yes,Yes
1743,Yes,Yes
1744,Yes,No
1745,Yes,No
1746,Yes,Yes
1747,Yes,Yes
1748,Yes,Yes
1749,Yes,Yes
1750,Yes,Yes
1751,Yes,No
1752,No,No
1753,Yes,Yes
1754,No,No
1755,No,Yes
1756,Yes,Yes
1757,Yes,No
1758,No,No
1759,Yes,No
1760,Yes,No
1761,No,No
1762,No,No
1763,Yes,Yes
1764,No,No
1765,No,No
1766,Yes,No
1767,Yes,No
1768,Yes,No
1769,Yes,Yes
1770,No,Yes
1771,No,No
1772,No,No
1773,No,Yes
1774,Yes,Yes
1775,Yes,Yes
1776,No,Yes
1777,Yes,No
1778,No,No
1779,No,Yes
1780,Yes,No
1781,Yes,No
1782,No,Yes
1783,Yes,No
1784,No,Yes
1785,Yes,No
1786,Yes,No
1787,Yes,Yes
1788,Yes,No
1789,Yes,Yes
1790,Yes,Yes
1791,Yes,Yes
1792,Yes,No
1793,Yes,No
1794,Yes,No
1795,No,No
1796,No,Yes
1797,Yes,No
1798,No,Yes
1799,Yes,No
1800,Yes,Yes
1801,No,Yes
1802,No,No
1803,Yes,No
1804,Yes,Yes
1805,Yes,Yes
1806,No,No
1807,Yes,Yes
1808,No,No
1809,No,No
1810,No,Yes
1811,Yes,No
1812,Yes,No
1813,Yes,Yes
1814,Yes,No
1815,Yes,Yes
1816,Yes,No
1817,Yes,Yes
1818,Yes,Yes
1819,No,No
1820,Yes,Yes
1821,Yes,Yes
1822,No,Yes
1823,Yes,Yes
1824,No,Yes
1825,Yes,No
1826,No,Yes
1827,Yes,Yes
1828,Yes,Yes
1829,No,Yes
1830,No,Yes
1831,No,Yes
1832,No,Yes
1833,No,No
1834,No,No
1835,No,Yes
1836,Yes,Yes
1837,Yes,No
1838,No,No
1839,No,Yes
1840,No,Yes
1841,Yes,Yes
1842,No,No
1843,No,Yes
1844,Yes,No
1845,Yes,No
1846,Yes,Yes
1847,Yes,No
1848,No,No
1849,Yes,No
1850,Yes,No
1851,No,Yes
1852,No,No
1853,No,Yes
1854,Yes,Yes
1855,Yes,Yes
1856,No,No
1857,No,No
1858,Yes,Yes
1859,Yes,No
1860,No,No
1861,No,Yes
1862,Yes,Yes
1863,Yes,No
1864,No,Yes
1865,Yes,Yes
1866,Yes,No
1867,Yes,Yes
1868,Yes,No
1869,No,Yes
1870,No,No
1871,No,No
1872,Yes,Yes
1873,No,No
1874,Yes,No
1875,Yes,Yes
1876,Yes,No
1877,Yes,No
1878,No,No
1879,No,No
1880,No,No
1881,Yes,Yes
1882,No,Yes
1883,Yes,No
1884,No,Yes
1885,No,Yes
1886,Yes,Yes
1887,No,Yes
1888,Yes,No
1889,Yes,Yes
1890,No,No
1891,No,Yes
1892,Yes,No
1893,Yes,No
1894,No,No
1895,Yes,Yes
1896,No,No
1897,Yes,No
1898,No,No
1899,Yes,Yes
1900,Yes,No
1901,No,Yes
1902,Yes,No
1903,No,Yes
1904,Yes,No
1905,No,Yes
1906,Yes,No
1907,Yes,No
1908,No,No
1909,Yes,No
1910,No,Yes
1911,Yes,Yes
1912,Yes,No
1913,No,Yes
1914,No,No
1915,No,Yes
1916,No,No
1917,Yes,Yes
1918,Yes,Yes
1919,No,No
1920,No,No
1921,No,Yes
1922,Yes,Yes
1923,No,No
1924,Yes,No
1925,No,Yes
1926,No,Yes
1927,No,Yes
1928,Yes,No
1929,Yes,No
1930,Yes,Yes
1931,Yes,No
1932,Yes,Yes
1933,Yes,Yes
1934,Yes,Yes
1935,No,No
1936,Yes,No
1937,Yes,No
1938,No,No
1939,No,Yes
1940,No,Yes
1941,Yes,Yes
1942,Yes,No
1943,Yes,Yes
1944,Yes,No
1945,Yes,Yes
1946,Yes,No
1947,No,No
1948,Yes,No
1949,Yes,Yes
1950,No,No
1951,Yes,No
1952,Yes,Yes
1953,Yes,No
1954,Yes,No
1955,Yes,Yes
1956,Yes,No
1957,No,No
1958,No,Yes
1959,No,Yes
1960,Yes,Yes
1961,No,Yes
1962,Yes,Yes
1963,Yes,Yes
1964,Yes,Yes
1965,Yes,Yes
1966,No,Yes
1967,Yes,Yes
1968,Yes,Yes
1969,Yes,Yes
1970,Yes,No
1971,Yes,No
1972,No,Yes
1973,Yes,No
1974,Yes,Yes
1975,Yes,No
1976,No,Yes
1977,No,Yes
1978,No,Yes
1979,Yes,Yes
1980,No,Yes
1981,No,No
1982,No,No
1983,Yes,Yes
1984,Yes,Yes
1985,No,Yes
1986,Yes,Yes
1987,No,No
1988,Yes,No
1989,Yes,Yes
1990,No,Yes
1991,Yes,No
1992,Yes,Yes
1993,Yes,No
1994,Yes,Yes
1995,Yes,No
1996,No,No
1997,No,No
1998,No,Yes
1999,No,No
2000,Yes,No
2001,Yes,No
2002,Yes,No
2003,No,Yes
2004,Yes,No
2005,Yes,Yes
2006,Yes,Yes
2007,No,No
2008,No,No
2009,Yes,No
2010,No,No
2011,No,No
2012,No,No
2013,No,No
2014,No,No
2015,Yes,Yes
2016,No,Yes
2017,No,No
2018,No,Yes
2019,No,No
2020,Yes,No
2021,No,Yes
2022,No,Yes
2023,Yes,Yes
2024,Yes,Yes
2025,No,Yes
2026,Yes,No
2027,No,No
2028,No,Yes
2029,No,No
2030,No,Yes
2031,Yes,No
2032,No,Yes
2033,Yes,Yes
2034,Yes,Yes
2035,No,Yes
2036,Yes,No
2037,Yes,Yes
2038,No,Yes
2039,Yes,No
2040,Yes,No
2041,Yes,No
2042,No,No
2043,Yes,Yes
2044,No,Yes
2045,Yes,Yes
2046,No,No
2047,No,Yes
2048,No,Yes
2049,No,Yes
2050,No,No
2051,Yes,Yes
2052,Yes,No
2053,No,Yes
2054,Yes,Yes
2055,No,No
2056,Yes,No
2057,No,No
2058,Yes,No
2059,No,Yes
2060,No,Yes
2061,No,Yes
2062,No,No
2063,No,No
2064,Yes,No
2065,No,Yes
2066,Yes,No
2067,No,Yes
2068,No,Yes
2069,No,No
2070,No,No
2071,No,Yes
2072,No,No
2073,Yes,No
2074,Yes,Yes
2075,Yes,No
2076,No,No
2077,No,Yes
2078,Yes,Yes
2079,Yes,Yes
2080,No,Yes
2081,No,No
2082,No,Yes
2083,Yes,Yes
2084,No,No
2085,No,Yes
2086,No,Yes
2087,Yes,Yes
2088,Yes,No
2089,Yes,No
2090,Yes,No
2091,No,No
2092,Yes,Yes
2093,No,Yes
2094,Yes,Yes
2095,Yes,Yes
2096,Yes,Yes
2097,Yes,No
2098,Yes,No
2099,Yes,Yes
2100,No,No
2101,Yes,No
2102,Yes,Yes
2103,No,Yes
2104,Yes,No
2105,Yes,No
2106,Yes,Yes
2107,No,No
2108,Yes,No
2109,No,Yes
2110,No,No
2111,No,No
2112,Yes,Yes
2113,No,Yes
2114,Yes,Yes
2115,No,Yes
2116,Yes,Yes
2117,No,Yes
2118,No,Yes
2119,Yes,No
2120,Yes,Yes
2121,No,No
2122,No,No
2123,No,Yes
2124,Yes,No
2125,Yes,Yes
2126,Yes,No
2127,No,Yes
2128,No,Yes
2129,Yes,No
2130,No,Yes
2131,No,Yes
2132,Yes,No
2133,Yes,Yes
2134,Yes,No
2135,Yes,Yes
2136,Yes,No
2137,Yes,No
2138,Yes,No
2139,Yes,Yes
2140,Yes,No
2141,No,No
2142,No,Yes
2143,Yes,No
2144,Yes,Yes
2145,No,No
2146,No,Yes
2147,No,Yes
2148,No,No
2149,No,Yes
2150,No,No
2151,No,No
2152,Yes,Yes
2153,No,No
2154,No,No
2155,No,No
2156,No,Yes
2157,Yes,No
2158,Yes,No
2159,Yes,Yes
2160,Yes,Yes
2161,Yes,Yes
2162,Yes,No
2163,Yes,Yes
2164,Yes,Yes
2165,No,Yes
2166,No,Yes
2167,Yes,No
2168,No,No
2169,No,Yes
2170,No,Yes
2171,No,Yes
2172,No,No
2173,Yes,Yes
2174,No,No
2175,Yes,No
2176,No,No
2177,Yes,Yes
2178,Yes,Yes
2179,Yes,Yes
2180,No,No
2181,No,Yes
2182,Yes,No
2183,Yes,No
2184,No,Yes
2185,Yes,No
2186,No,Yes
2187,Yes,Yes
2188,No,No
2189,No,No
2190,Yes,No
2191,Yes,Yes
2192,Yes,No
2193,No,No
2194,Yes,Yes
2195,No,No
2196,No,No
2197,No,No
2198,No,No
2199,No,No
2200,No,No
2201,No,No
2202,Yes,Yes
2203,No,Yes
2204,No,No
2205,Yes,Yes
2206,Yes,Yes
2207,No,Yes
2208,Yes,Yes
2209,No,Yes
2210,No,No
2211,No,No
2212,No,Yes
2213,No,Yes
2214,Yes,No
2215,Yes,Yes
2216,No,Yes
2217,No,No
2218,No,No
2219,No,Yes
2220,Yes,Yes
2221,No,No
2222,No,No
2223,No,Yes
2224,No,No
2225,Yes,Yes
2226,Yes,Yes
2227,Yes,Yes
2228,No,Yes
2229,No,Yes
2230,No,Yes
2231,No,No
2232,No,Yes
2233,No,No
2234,No,Yes
2235,Yes,Yes
2236,Yes,Yes
2237,Yes,Yes
2238,No,Yes
2239,No,Yes
2240,No,Yes
2241,Yes,Yes
2242,No,Yes
2243,No,No
2244,Yes,No
2245,Yes,No
2246,Yes,Yes
2247,No,Yes
2248,Yes,No
2249,Yes,No
2250,No,No
2251,No,Yes
2252,No,Yes
2253,Yes,No
2254,No,No
2255,No,No
2256,No,Yes
2257,Yes,No
2258,No,No
2259,No,Yes
2260,No,No
2261,Yes,Yes
2262,No,Yes
2263,No,No
2264,No,No
2265,No,No
2266,No,Yes
2267,Yes,Yes
2268,No,Yes
2269,No,No
2270,Yes,Yes
2271,No,No
2272,No,No
2273,No,Yes
2274,No,No
2275,Yes,Yes
2276,Yes,Yes
2277,No,No
2278,Yes,No
2279,No,No
2280,No,No
2281,No,Yes
2282,No,Yes
2283,Yes,No
2284,Yes,No
2285,No,Yes
2286,No,No
2287,No,No
2288,Yes,Yes
2289,Yes,No
2290,Yes,No
2291,Yes,Yes
2292,No,Yes
2293,Yes,Yes
2294,Yes,No
2295,No,Yes
2296,Yes,No
2297,Yes,Yes
2298,No,Yes
2299,Yes,No
2300,No,No
2301,Yes,Yes
2302,Yes,Yes
2303,Yes,No
2304,Yes,No
2305,Yes,No
2306,Yes,No
2307,No,Yes
2308,Yes,No
2309,No,Yes
2310,No,No
2311,No,Yes
2312,No,No
2313,Yes,No
2314,No,Yes
2315,No,Yes
2316,No,No
2317,Yes,No
2318,No,No
2319,No,Yes
2320,No,No
2321,Yes,No
2322,No,Yes
2323,Yes,No
2324,Yes,Yes
2325,No,No
2326,Yes,No
2327,Yes,No
2328,No,Yes
2329,No,No
2330,No,No
2331,No,Yes
2332,No,Yes
2333,No,No
2334,No,No
2335,No,Yes
2336,Yes,No
2337,Yes,Yes
2338,No,Yes
2339,Yes,No
2340,No,Yes
2341,No,Yes
2342,No,No
2343,Yes,No
2344,No,Yes
2345,No,Yes
2346,No,Yes
2347,No,Yes
2348,Yes,No
2349,No,No
2350,No,Yes
2351,No,No
2352,No,No
2353,No,No
2354,No,No
2355,Yes,No
2356,No,Yes
2357,No,No
2358,No,Yes
2359,Yes,No
2360,No,No
2361,No,Yes
2362,No,Yes
2363,No,Yes
2364,No,No
2365,Yes,No
2366,No,No
2367,No,No
2368,No,Yes
2369,No,Yes
2370,Yes,Yes
2371,No,No
2372,Yes,No
2373,Yes,No
2374,Yes,No
2375,No,Yes
2376,Yes,No
2377,Yes,No
2378,No,Yes
2379,Yes,No
2380,Yes,No
2381,No,Yes
2382,No,Yes
2383,No,No
2384,No,Yes
2385,No,Yes
2386,Yes,Yes
2387,Yes,No
2388,Yes,Yes
2389,No,No
2390,No,No
2391,No,No
2392,Yes,Yes
2393,No,Yes
2394,Yes,Yes
2395,Yes,Yes
2396,Yes,No
2397,Yes,Yes
2398,Yes,No
2399,Yes,No
2400,No,Yes
2401,No,No
2402,No,Yes
2403,No,No
2404,Yes,Yes
2405,Yes,Yes
2406,Yes,Yes
2407,No,No
2408,No,No
2409,Yes,No
2410,Yes,Yes
2411,No,Yes
2412,No,Yes
2413,Yes,No
2414,Yes,Yes
2415,Yes,No
2416,Yes,No
2417,No,Yes
2418,Yes,No
2419,No,Yes
2420,Yes,Yes
2421,No,Yes
2422,Yes,No
2423,Yes,No
2424,No,No
2425,No,Yes
2426,No,Yes
2427,Yes,No
2428,No,Yes
2429,Yes,Yes
2430,Yes,Yes
2431,No,No
2432,Yes,No
2433,No,No
2434,No,Yes
2435,Yes,No
2436,No,No
2437,No,Yes
2438,Yes,No
2439,Yes,Yes
2440,No,Yes
2441,No,Yes
2442,Yes,No
2443,No,Yes
2444,No,No
2445,Yes,No
2446,Yes,Yes
2447,Yes,Yes
2448,No,No
2449,Yes,No
2450,Yes,Yes
2451,Yes,Yes
2452,No,Yes
2453,No,Yes
2454,No,Yes
2455,Yes,No
2456,Yes,No
2457,Yes,Yes
2458,Yes,Yes
2459,No,Yes
2460,No,No
2461,No,No
2462,Yes,No
2463,No,No
2464,Yes,Yes
2465,No,No
2466,No,Yes
2467,No,Yes
2468,Yes,Yes
2469,No,Yes
2470,No,Yes
2471,No,Yes
2472,No,Yes
2473,Yes,Yes
2474,No,Yes
2475,No,No
2476,No,Yes
2477,No,Yes
2478,No,Yes
2479,No,Yes
2480,Yes,Yes
2481,Yes,No
2482,Yes,Yes
2483,Yes,Yes
2484,No,Yes
2485,No,Yes
2486,Yes,Yes
2487,Yes,No
2488,No,Yes
2489,No,No
2490,Yes,Yes
2491,Yes,Yes
2492,No,Yes
2493,No,No
2494,No,Yes
2495,Yes,No
2496,No,No
2497,Yes,No
2498,Yes,Yes
2499,Yes,No
2500,Yes,No
2501,No,Yes
2502,Yes,Yes
2503,No,No
2504,Yes,Yes
2505,Yes,No
2506,No,Yes
2507,Yes,Yes
2508,Yes,No
2509,No,No
2510,Yes,Yes
2511,Yes,No
2512,Yes,Yes
2513,No,No
2514,No,No
2515,Yes,No
2516,No,Yes
2517,No,Yes
2518,No,Yes
2519,Yes,No
2520,Yes,Yes
2521,No,Yes
2522,Yes,No
2523,No,Yes
2524,Yes,No
2525,Yes,No
2526,Yes,No
2527,Yes,No
2528,Yes,Yes
2529,Yes,Yes
2530,Yes,No
2531,Yes,No
2532,No,Yes
2533,No,No
2534,No,No
2535,Yes,No
2536,Yes,Yes
2537,Yes,Yes
2538,No,Yes
2539,No,No
2540,Yes,No
2541,Yes,No
2542,No,Yes
2543,No,Yes
2544,Yes,Yes
2545,No,No
2546,Yes,Yes
2547,Yes,Yes
2548,No,No
2549,Yes,No
2550,No,Yes
2551,Yes,Yes
2552,Yes,Yes
2553,Yes,Yes
2554,No,No
2555,Yes,Yes
2556,No,Yes
2557,Yes,Yes
2558,Yes,Yes
2559,No,No
2560,No,No
2561,No,Yes
2562,Yes,No
2563,Yes,No
2564,No,Yes
2565,No,No
2566,No,No
2567,No,Yes
2568,Yes,Yes
2569,Yes,Yes
2570,No,Yes
2571,No,No
2572,No,No
2573,Yes,No
2574,No,No
2575,Yes,No
2576,Yes,Yes
2577,Yes,No
2578,Yes,Yes
2579,No,No
2580,No,Yes
2581,No,Yes
2582,Yes,Yes
2583,Yes,Yes
2584,No,Yes
2585,Yes,No
2586,Yes,Yes
2587,No,No
2588,Yes,Yes
2589,Yes,No
2590,No,No
2591,Yes,No
2592,Yes,No
2593,Yes,No
2594,No,Yes
2595,Yes,No
2596,No,Yes
2597,Yes,Yes
2598,No,Yes
2599,No,No
2600,No,No
2601,Yes,Yes
2602,Yes,No
2603,No,No
2604,No,Yes
2605,No,No
2606,Yes,Yes
2607,Yes,No
2608,Yes,No
2609,Yes,No
2610,Yes,No
2611,Yes,Yes
2612,Yes,No
2613,Yes,No
2614,No,Yes
2615,No,Yes
2616,Yes,No
2617,No,Yes
2618,No,No
2619,No,Yes
2620,Yes,No
2621,Yes,Yes
2622,Yes,Yes
2623,No,Yes
2624,No,Yes
2625,Yes,Yes
2626,Yes,No
2627,Yes,Yes
2628,Yes,No
2629,No,Yes
2630,Yes,No
2631,No,No
2632,Yes,Yes
2633,No,No
2634,Yes,No
2635,No,No
2636,Yes,Yes
2637,No,Yes
2638,No,Yes
2639,No,No
2640,No,Yes
2641,No,Yes
2642,No,No
2643,Yes,Yes
2644,Yes,Yes
2645,No,Yes
2646,Yes,Yes
2647,No,No
2648,Yes,Yes
2649,Yes,No
2650,No,No
2651,Yes,No
2652,No,No
2653,Yes,Yes
2654,No,Yes
2655,Yes,No
2656,No,Yes
2657,Yes,Yes
2658,No,Yes
2659,Yes,No
2660,No,No
2661,Yes,No
2662,No,Yes
2663,Yes,No
2664,No,No
2665,Yes,No
2666,Yes,Yes
2667,No,No
2668,No,No
2669,No,No
2670,Yes,No
2671,Yes,No
2672,Yes,Yes
2673,Yes,No
2674,No,Yes
2675,No,No
2676,Yes,No
2677,No,Yes
2678,Yes,No
2679,Yes,No
2680,No,No
2681,No,No
2682,Yes,Yes
2683,No,Yes
2684,Yes,Yes
2685,No,Yes
2686,No,No
2687,Yes,No
2688,No,No
2689,No,No
2690,Yes,No
2691,Yes,No
2692,Yes,No
2693,Yes,Yes
2694,Yes,Yes
2695,No,No
2696,Yes,Yes
2697,No,Yes
2698,No,No
2699,Yes,No
2700,Yes,No
2701,Yes,No
2702,Yes,No
2703,No,Yes
2704,Yes,No
2705,Yes,Yes
2706,Yes,Yes
2707,No,Yes
2708,Yes,Yes
2709,No,Yes
2710,Yes,Yes
2711,Yes,No
2712,Yes,No
2713,Yes,No
2714,Yes,No
2715,No,Yes
2716,No,Yes
2717,No,No
2718,Yes,No
2719,No,Yes
2720,No,No
2721,No,No
2722,No,No
2723,No,No
2724,Yes,Yes
2725,Yes,No
2726,No,No
2727,Yes,Yes
2728,Yes,No
2729,No,Yes
2730,No,Yes
2731,Yes,Yes
2732,Yes,No
2733,Yes,Yes
2734,Yes,Yes
2735,No,Yes
2736,Yes,Yes
2737,Yes,Yes
2738,No,Yes
2739,No,No
2740,Yes,No
2741,Yes,No
2742,Yes,No
2743,No,Yes
2744,No,No
2745,Yes,No
2746,Yes,No
2747,No,No
2748,No,Yes
2749,Yes,No
2750,No,No
2751,No,Yes
2752,No,No
2753,Yes,No
2754,Yes,No
2755,No,No
2756,Yes,Yes
2757,Yes,No
2758,Yes,No
2759,No,No
2760,No,No
2761,Yes,No
2762,No,No
2763,No,No
2764,No,No
2765,Yes,Yes
2766,No,No
2767,Yes,No
2768,No,Yes
2769,No,No
2770,Yes,No
2771,No,No
2772,Yes,No
2773,No,No
2774,Yes,Yes
2775,No,Yes
2776,Yes,No
2777,No,Yes
2778,Yes,No
2779,No,No
2780,No,No
2781,Yes,Yes
2782,Yes,No
2783,No,Yes
2784,Yes,No
2785,Yes,No
2786,No,Yes
2787,No,Yes
2788,Yes,Yes
2789,No,No
2790,No,No
2791,Yes,Yes
2792,Yes,Yes
2793,No,Yes
2794,No,No
2795,Yes,Yes
2796,No,Yes
2797,Yes,Yes
2798,Yes,Yes
2799,Yes,Yes
2800,No,Yes
2801,No,No
2802,Yes,No
2803,Yes,Yes
2804,No,Yes
2805,No,No
2806,No,No
2807,No,Yes
2808,No,No
2809,No,No
2810,Yes,Yes
2811,Yes,No
2812,Yes,Yes
2813,Yes,Yes
2814,No,No
2815,No,Yes
2816,Yes,Yes
2817,Yes,No
2818,Yes,No
2819,Yes,Yes
2820,Yes,Yes
2821,Yes,Yes
2822,Yes,Yes
2823,Yes,Yes
2824,No,No
2825,No,Yes
2826,Yes,Yes
2827,No,No
2828,Yes,No
2829,Yes,Yes
2830,Yes,Yes
2831,Yes,Yes
2832,Yes,Yes
2833,No,No
2834,No,No
2835,Yes,No
2836,No,Yes
2837,Yes,Yes
2838,No,Yes
2839,Yes,No
2840,No,No
2841,No,Yes
2842,Yes,Yes
2843,No,No
2844,Yes,Yes
2845,No,Yes
2846,No,Yes
2847,No,Yes
2848,Yes,No
2849,No,Yes
2850,Yes,No
2851,Yes,No
2852,No,No
2853,No,No
2854,No,Yes
2855,Yes,No
2856,No,Yes
2857,No,Yes
2858,Yes,No
2859,Yes,Yes
2860,No,No
2861,No,Yes
2862,No,Yes
2863,Yes,Yes
2864,Yes,No
2865,No,Yes
2866,Yes,Yes
2867,No,No
2868,No,Yes
2869,Yes,Yes
2870,Yes,No
2871,Yes,No
2872,No,Yes
2873,No,Yes
2874,Yes,Yes
2875,No,Yes
2876,Yes,Yes
2877,No,Yes
2878,Yes,No
2879,Yes,Yes
2880,No,No
2881,No,Yes
2882,Yes,Yes
2883,Yes,Yes
2884,No,No
2885,Yes,Yes
2886,Yes,Yes
2887,No,Yes
2888,No,No
2889,No,No
2890,No,Yes
2891,No,Yes
2892,No,Yes
2893,No,No
2894,Yes,No
2895,Yes,Yes
2896,Yes,No
2897,No,Yes
2898,Yes,No
2899,No,Yes
2900,No,Yes
2901,Yes,No
2902,Yes,Yes
2903,No,No
2904,No,No
2905,Yes,No
2906,No,No
2907,No,Yes
2908,Yes,No
2909,No,Yes
2910,Yes,No
2911,Yes,Yes
2912,Yes,Yes
2913,Yes,Yes
2914,Yes,No
2915,Yes,No
2916,Yes,Yes
2917,Yes,Yes
2918,No,No
2919,No,Yes
2920,No,No
2921,Yes,Yes
2922,No,No
2923,No,Yes
2924,Yes,Yes
2925,Yes,Yes
2926,No,No
2927,Yes,Yes
2928,No,Yes
2929,Yes,No
2930,No,No
2931,No,Yes
2932,No,No
2933,Yes,Yes
2934,No,Yes
2935,No,Yes
2936,Yes,Yes
2937,No,Yes
2938,Yes,No
2939,No,Yes
2940,Yes,No
2941,Yes,No
2942,Yes,Yes
2943,Yes,Yes
2944,Yes,Yes
2945,No,No
2946,Yes,No
2947,Yes,Yes
2948,Yes,No
2949,No,Yes
2950,Yes,Yes
2951,Yes,Yes
2952,No,No
2953,Yes,Yes
2954,No,No
2955,Yes,No
2956,Yes,Yes
2957,No,Yes
2958,Yes,Yes
2959,No,Yes
2960,Yes,Yes
2961,Yes,No
2962,Yes,Yes
2963,No,No
2964,No,Yes
2965,Yes,Yes
2966,Yes,No
2967,Yes,No
2968,Yes,Yes
2969,Yes,Yes
2970,Yes,No
2971,No,Yes
2972,No,No
2973,No,Yes
2974,No,Yes
2975,Yes,Yes
2976,Yes,No
2977,No,No
2978,No,Yes
2979,Yes,Yes
2980,Yes,Yes
2981,Yes,Yes
2982,No,Yes
2983,Yes,No
2984,Yes,No
2985,Yes,Yes
2986,Yes,No
2987,No,No
2988,Yes,Yes
2989,No,Yes
2990,No,No
2991,Yes,Yes
2992,No,Yes
2993,No,No
2994,No,Yes
2995,No,Yes
2996,No,No
2997,No,No
2998,Yes,No
2999,No,No
3000,Yes,No
3001,No,No
3002,Yes,No
3003,No,Yes
3004,No,No
3005,Yes,Yes
3006,No,Yes
3007,Yes,No
3008,Yes,Yes
3009,No,Yes
3010,No,Yes
3011,Yes,No
3012,No,Yes
3013,No,Yes
3014,No,Yes
3015,No,No
3016,Yes,No
3017,Yes,Yes
3018,No,Yes
3019,Yes,No
3020,No,No
3021,No,No
3022,Yes,Yes
3023,No,No
3024,Yes,Yes
3025,No,Yes
3026,Yes,Yes
3027,Yes,Yes
3028,No,Yes
3029,No,Yes
3030,Yes,Yes
3031,No,No
3032,No,Yes
3033,No,No
3034,No,No
3035,Yes,Yes
3036,No,No
3037,No,Yes
3038,Yes,Yes
3039,No,Yes
3040,Yes,No
3041,No,Yes
3042,No,No
3043,Yes,No
3044,Yes,Yes
3045,No,No
3046,No,No
3047,Yes,Yes
3048,No,Yes
3049,Yes,Yes
3050,Yes,No
3051,Yes,Yes
3052,No,No
3053,No,Yes
3054,Yes,No
3055,Yes,No
3056,Yes,No
3057,No,Yes
3058,No,No
3059,No,No
3060,No,No
3061,No,No
3062,No,No
3063,No,No
3064,Yes,No
3065,Yes,No
3066,Yes,Yes
3067,No,No
3068,Yes,No
3069,Yes,No
3070,No,No
3071,No,No
3072,Yes,Yes
3073,Yes,Yes
3074,Yes,No
3075,Yes,Yes
3076,Yes,Yes
3077,No,Yes
3078,Yes,No
3079,No,No
3080,No,No
3081,No,Yes
3082,Yes,No
3083,No,No
3084,No,Yes
3085,Yes,Yes
3086,No,No
3087,Yes,Yes
3088,Yes,No
3089,No,Yes
3090,No,No
3091,No,Yes
3092,No,Yes
3093,No,No
3094,Yes,Yes
3095,No,No
3096,Yes,No
3097,No,No
3098,No,No
3099,No,No
3100,Yes,Yes
3101,Yes,No
3102,No,Yes
3103,No,Yes
3104,No,No
3105,Yes,Yes
3106,Yes,Yes
3107,Yes,No
3108,Yes,Yes
3109,Yes,No
3110,Yes,Yes
3111,Yes,Yes
3112,Yes,No
3113,Yes,No
3114,No,No
3115,No,Yes
3116,No,No
3117,No,No
3118,Yes,No
3119,No,No
3120,Yes,Yes
3121,No,Yes
3122,Yes,Yes
3123,Yes,No
3124,No,No
3125,No,No
3126,No,No
3127,Yes,Yes
3128,No,No
3129,Yes,No
3130,Yes,Yes
3131,Yes,No
3132,Yes,No
3133,No,No
3134,No,No
3135,No,Yes
3136,No,Yes
3137,Yes,Yes
3138,No,No
3139,No,No
3140,No,Yes
3141,Yes,Yes
3142,No,Yes
3143,Yes,No
3144,No,Yes
3145,Yes,No
3146,Yes,No
3147,No,No
3148,Yes,Yes
3149,No,No
3150,No,No
3151,Yes,No
3152,No,Yes
3153,Yes,No
3154,Yes,Yes
3155,No,Yes
3156,Yes,Yes
3157,Yes,No
3158,Yes,Yes
3159,Yes,Yes
3160,No,Yes
3161,No,No
3162,No,Yes
3163,No,No
3164,No,Yes
3165,Yes,Yes
3166,No,No
3167,Yes,No
3168,No,No
3169,Yes,Yes
3170,Yes,Yes
3171,No,Yes
3172,No,No
3173,Yes,Yes
3174,No,No
3175,Yes,No
3176,Yes,No
3177,Yes,Yes
3178,No,Yes
3179,Yes,Yes
3180,No,No
3181,Yes,Yes
3182,No,No
3183,No,No
3184,No,No
3185,Yes,No
3186,Yes,Yes
3187,No,No
3188,No,Yes
3189,No,Yes
3190,Yes,No
3191,Yes,No
3192,Yes,No
3193,No,No
3194,No,No
3195,No,Yes
3196,Yes,No
3197,No,No
3198,Yes,No
3199,Yes,Yes
3200,Yes,Yes
3201,Yes,Yes
3202,No,Yes
3203,No,Yes
3204,No,No
3205,Yes,No
3206,No,Yes
3207,No,Yes
3208,Yes,No
