Train_No,Route_ID,Departure_Date,Arrival_Date,Departure_Time,Arrival_Time
19,708,2023-11-18,2023-07-12,13:52:11,17:18:15
17,194,2023-08-25,2023-10-17,14:24:33,00:16:50
15,132,2023-08-27,2023-08-26,01:45:25,18:19:47
6,92,2023-01-25,2023-10-15,15:07:55,21:06:51
14,599,2023-07-17,2023-03-10,20:55:02,17:19:20
17,943,2023-07-05,2023-03-04,22:55:04,09:23:47
7,314,2023-05-31,2023-04-04,15:51:37,00:03:04
19,7,2023-05-27,2023-10-20,20:36:02,22:45:02
4,390,2023-02-04,2023-04-05,11:28:14,19:32:51
3,490,2023-12-03,2023-04-15,06:16:28,08:49:10
9,874,2023-07-07,2023-07-25,08:56:04,01:46:16
11,913,2023-10-27,2022-12-31,12:16:00,08:51:36
1,264,2023-03-10,2023-05-09,03:24:37,06:17:14
16,790,2023-01-17,2023-07-15,23:57:03,23:13:33
12,691,2023-07-17,2023-02-17,08:45:10,09:33:11
16,185,2023-05-07,2023-07-17,18:10:17,01:26:57
3,938,2023-04-12,2023-07-06,12:10:10,02:17:36
19,204,2023-04-20,2023-10-20,22:45:12,15:52:02
7,402,2023-01-14,2023-11-23,14:44:41,01:56:02
14,9,2023-02-12,2023-04-20,13:52:57,16:24:44
20,56,2023-11-09,2023-08-10,01:02:32,18:09:21
20,264,2023-06-27,2023-06-06,22:29:22,08:18:16
16,16,2023-02-10,2023-12-15,18:11:36,20:55:16
3,844,2023-07-08,2023-10-08,20:22:13,04:31:19
20,158,2023-12-25,2023-11-16,02:33:50,11:48:31
6,672,2022-12-30,2023-08-24,02:15:55,02:23:26
8,748,2023-10-30,2023-06-23,16:35:12,04:29:54
14,67,2023-12-01,2023-11-08,10:26:24,17:19:23
9,907,2023-03-07,2023-02-02,12:03:51,08:11:19
18,387,2023-03-21,2023-05-14,19:39:03,01:15:43
4,822,2023-12-01,2023-03-09,08:38:40,20:58:04
1,987,2023-04-09,2023-09-01,01:35:00,06:57:18
16,717,2023-08-07,2023-08-07,05:34:38,04:22:27
15,575,2023-07-16,2023-03-07,19:57:59,10:34:25
5,508,2023-03-10,2023-04-02,16:32:34,05:33:45
19,906,2023-10-16,2023-03-18,06:47:03,13:17:11
18,444,2023-07-20,2023-08-25,04:46:33,15:45:38
1,718,2023-11-13,2023-09-01,23:48:38,21:26:52
6,542,2023-05-01,2023-01-31,17:02:22,04:37:18
7,77,2023-10-19,2022-12-31,16:57:14,06:19:28
2,823,2023-03-01,2023-05-11,11:35:20,05:36:21
7,129,2023-02-02,2023-01-24,09:16:22,19:53:42
9,31,2023-05-31,2023-05-14,14:08:52,09:33:17
11,338,2023-10-12,2023-07-07,08:39:28,12:47:39
19,171,2023-03-03,2023-12-03,00:51:53,04:44:25
12,194,2023-08-16,2023-07-25,01:59:11,05:37:55
7,77,2023-08-08,2023-12-07,17:30:44,02:07:33
14,204,2023-12-02,2023-07-12,21:29:17,15:10:13
15,659,2023-10-31,2023-05-26,14:41:06,07:19:22
12,993,2023-07-26,2023-03-10,19:17:56,22:41:00
8,865,2023-11-08,2023-02-22,11:27:33,19:03:54
14,732,2023-04-05,2023-01-27,01:58:48,14:42:33
17,517,2023-06-30,2023-08-04,14:12:58,14:00:40
5,785,2023-03-07,2023-03-09,07:57:47,12:06:36
2,459,2023-03-30,2023-09-13,13:48:17,05:39:54
19,498,2023-01-01,2023-03-06,04:26:55,12:00:49
5,718,2023-03-12,2023-08-17,01:33:52,07:06:17
20,517,2023-02-17,2023-02-25,06:36:20,16:54:25
3,347,2023-07-15,2023-04-15,08:57:46,10:18:11
14,957,2023-08-13,2023-11-05,16:25:35,07:29:08
1,159,2023-06-12,2023-03-22,22:09:16,16:31:13
13,423,2023-08-20,2023-07-04,13:57:11,11:13:02
13,948,2023-05-24,2023-04-21,03:37:40,21:45:37
17,78,2023-08-15,2023-11-03,09:18:00,08:58:55
4,635,2023-05-05,2023-11-17,20:39:32,08:28:19
6,996,2023-04-25,2023-12-22,12:12:18,20:36:22
16,979,2023-05-16,2023-05-06,20:55:33,07:46:09
20,706,2023-04-14,2023-06-06,14:00:33,05:11:56
5,12,2023-07-16,2023-04-10,01:59:55,15:15:59
5,234,2023-08-07,2023-09-16,19:10:20,07:40:06
4,397,2023-03-20,2023-01-26,08:06:04,16:06:35
7,784,2023-10-14,2023-03-15,06:11:27,21:48:16
6,653,2022-12-30,2023-07-24,15:10:15,01:14:34
11,428,2023-01-07,2023-10-30,12:35:19,22:01:54
8,337,2023-11-05,2023-11-05,09:07:46,05:05:42
6,887,2023-01-04,2023-07-31,16:52:00,12:42:37
12,897,2023-06-09,2023-11-30,08:49:52,13:42:31
4,684,2023-12-19,2023-12-01,18:10:43,20:04:48
3,106,2023-06-25,2023-08-29,08:10:43,00:24:47
15,518,2023-08-11,2023-11-30,03:56:32,02:01:56
4,167,2023-11-27,2023-02-09,21:04:06,16:23:45
12,984,2023-12-01,2023-02-15,05:47:59,11:26:41
6,745,2023-03-15,2023-03-28,08:07:55,08:12:09
4,8,2023-01-21,2023-07-08,18:53:44,04:07:15
7,276,2023-11-09,2023-05-22,19:37:54,00:46:49
12,55,2023-04-10,2023-03-23,13:38:21,06:11:10
5,302,2023-08-14,2023-06-20,01:39:04,23:32:03
15,230,2023-12-06,2023-08-02,22:59:21,07:22:03
12,446,2023-08-15,2023-06-20,16:31:05,08:14:15
3,47,2023-10-26,2023-07-10,20:26:31,05:58:56
9,568,2023-04-12,2023-06-21,17:08:09,14:21:05
16,344,2023-07-29,2023-06-05,14:17:58,09:41:56
15,627,2023-02-21,2023-12-16,21:19:13,13:09:46
6,631,2023-01-21,2023-11-21,18:46:46,23:29:41
13,352,2023-01-15,2023-12-28,05:52:04,01:37:24
20,337,2023-08-10,2023-12-02,03:24:56,00:29:38
15,611,2023-02-18,2023-05-03,22:00:20,15:11:12
18,695,2023-05-10,2023-08-04,10:33:39,22:38:48
10,654,2023-06-19,2023-10-31,14:05:34,11:42:42
3,611,2023-03-19,2023-10-25,07:41:53,16:22:40
9,348,2023-01-21,2023-02-23,05:31:34,00:51:58
8,77,2023-08-26,2023-02-05,12:26:47,21:41:58
15,469,2023-09-29,2023-06-29,16:33:56,18:14:39
14,309,2023-02-14,2023-05-06,18:13:55,07:33:37
17,265,2023-03-23,2023-11-26,17:26:52,19:20:33
5,904,2023-05-05,2023-06-29,06:42:21,21:27:19
14,114,2023-12-23,2023-05-16,16:08:10,18:58:49
1,734,2023-05-22,2023-05-29,20:15:10,22:38:33
4,512,2023-12-27,2023-06-28,02:16:16,02:36:22
12,919,2023-11-04,2023-01-14,06:43:13,05:55:01
6,684,2023-04-03,2023-03-10,23:24:08,10:09:49
7,886,2023-08-13,2023-08-01,13:48:40,21:06:11
1,865,2023-07-20,2023-02-13,13:40:35,22:47:31
2,348,2023-03-09,2023-08-17,21:42:39,15:42:41
16,667,2023-11-13,2023-04-03,04:37:59,14:03:35
7,685,2023-09-01,2023-08-17,12:18:09,10:15:15
19,819,2023-06-24,2023-08-26,05:18:27,05:31:48
17,220,2023-07-27,2023-06-28,03:00:48,02:20:07
15,877,2023-05-08,2023-09-19,13:53:18,20:06:06
6,423,2023-09-19,2023-05-08,11:04:30,08:17:15
15,656,2023-06-14,2023-10-15,10:14:59,22:31:29
7,251,2023-06-23,2023-11-17,15:50:24,05:26:39
5,544,2023-07-30,2023-04-10,21:57:43,12:53:22
6,794,2023-03-11,2023-01-21,00:19:38,20:03:55
14,907,2023-10-10,2023-11-24,20:54:04,14:06:53
13,750,2023-07-11,2023-02-06,17:20:24,07:00:50
3,609,2023-08-12,2023-02-09,02:37:38,01:20:48
6,40,2023-05-13,2023-01-20,23:46:10,12:34:25
5,643,2023-11-19,2023-02-19,10:07:20,01:25:50
1,466,2023-06-11,2023-11-25,03:06:34,12:34:18
13,244,2023-08-29,2023-04-09,14:12:01,16:22:23
9,12,2023-11-09,2023-11-01,08:51:17,21:31:11
18,931,2023-01-31,2023-03-23,21:40:50,04:43:50
10,172,2023-08-01,2023-07-04,11:47:02,09:39:15
16,961,2023-03-23,2023-03-29,00:36:00,05:28:23
5,153,2023-09-01,2023-01-22,21:42:49,21:42:06
16,871,2023-09-07,2023-02-16,01:09:57,21:42:16
8,566,2023-03-09,2023-11-28,19:16:24,23:50:25
11,721,2023-03-27,2023-01-04,16:45:13,04:28:12
2,623,2023-06-14,2023-10-26,05:05:56,10:05:13
14,936,2023-06-22,2023-01-19,06:34:51,23:25:38
7,902,2023-10-08,2023-05-21,23:09:06,04:19:47
14,435,2023-09-12,2023-08-20,17:48:22,05:05:57
16,262,2023-08-10,2023-03-08,04:23:27,00:25:22
10,393,2023-12-19,2022-12-28,23:40:33,11:32:16
18,952,2023-05-01,2023-03-15,06:05:57,19:22:30
10,804,2023-08-03,2023-01-01,04:20:34,10:05:11
12,854,2023-08-29,2023-09-18,22:55:20,02:28:39
5,236,2023-08-23,2023-12-09,21:27:35,03:08:13
12,426,2023-03-25,2023-12-04,03:40:59,21:23:29
16,431,2023-09-10,2023-07-11,00:58:42,00:39:37
9,246,2023-04-05,2023-04-05,10:37:08,02:23:19
8,511,2023-01-14,2022-12-31,06:06:27,06:09:14
14,382,2023-05-15,2023-11-13,20:03:18,19:35:49
6,670,2023-02-15,2023-01-25,14:07:25,00:39:29
8,425,2023-01-02,2023-09-15,19:33:15,23:02:12
2,363,2023-10-29,2023-02-05,10:43:48,20:21:37
15,543,2023-10-12,2023-09-28,07:19:15,08:02:26
10,972,2023-07-27,2023-06-12,09:38:54,14:41:51
14,815,2023-07-06,2023-06-02,11:14:58,20:26:16
18,826,2023-01-31,2023-07-28,08:42:48,08:09:12
17,424,2023-05-17,2023-10-26,08:36:05,23:48:01
9,560,2023-08-09,2023-07-18,06:15:26,05:29:52
11,879,2023-04-09,2023-06-05,09:27:32,04:01:56
3,768,2023-03-08,2023-06-20,22:48:24,11:59:58
18,250,2023-12-03,2023-09-20,04:03:35,06:50:19
7,263,2022-12-29,2023-12-06,20:02:01,02:41:32
14,547,2023-08-26,2023-02-07,13:45:14,14:02:55
11,774,2023-02-09,2023-04-14,14:53:11,02:31:42
1,836,2023-02-11,2023-02-26,05:49:50,14:27:55
2,812,2023-07-25,2023-10-09,23:41:24,09:38:43
11,774,2023-12-03,2023-09-14,20:37:00,03:46:22
11,653,2023-06-05,2023-07-07,07:31:06,11:28:59
1,206,2023-04-27,2023-02-13,03:38:49,20:48:41
19,843,2023-06-28,2023-03-18,10:56:08,23:45:41
19,176,2023-09-09,2023-04-27,17:32:34,07:12:58
4,828,2023-01-22,2023-12-10,19:51:11,12:15:45
9,253,2023-05-12,2023-08-15,20:54:18,12:17:02
5,148,2023-05-09,2023-09-17,05:32:16,04:49:15
5,929,2023-12-21,2023-11-02,11:34:38,04:38:01
4,907,2023-10-18,2023-03-27,02:55:25,23:27:25
5,169,2023-02-24,2023-11-27,06:15:31,07:13:13
15,132,2023-11-27,2023-10-31,23:29:38,21:02:46
19,51,2023-10-26,2023-11-06,07:25:39,05:36:11
20,492,2023-11-30,2023-02-13,19:22:17,02:17:15
1,609,2023-11-23,2023-01-16,13:26:54,11:25:53
15,764,2023-12-21,2023-01-17,19:10:11,20:40:42
20,782,2023-12-24,2023-04-08,11:37:57,05:00:14
5,617,2023-03-01,2023-05-17,05:28:13,17:48:04
4,828,2023-06-15,2023-08-19,03:00:29,18:22:51
19,131,2023-10-20,2023-04-19,19:49:22,20:42:08
1,238,2023-02-10,2023-03-30,08:41:08,04:30:36
16,414,2023-11-02,2023-05-23,22:39:32,14:55:58
15,573,2023-12-09,2023-05-31,20:15:20,20:15:59
10,281,2023-07-31,2023-11-27,04:29:36,14:18:09
16,399,2023-07-29,2023-01-03,16:38:20,04:41:00
9,506,2023-12-12,2023-05-01,06:18:02,17:47:46
5,911,2023-04-15,2023-12-26,23:13:05,15:47:38
6,766,2023-01-23,2023-11-01,00:05:08,00:41:12
3,655,2023-10-29,2023-02-08,19:10:22,10:39:25
9,775,2023-02-13,2023-07-29,21:43:25,07:40:56
4,280,2023-03-11,2023-01-03,15:58:07,15:45:41
14,701,2023-09-14,2023-10-15,01:57:45,04:12:56
10,116,2023-01-03,2023-09-11,09:19:31,12:05:17
14,394,2023-04-29,2023-11-30,18:09:56,14:07:23
15,755,2023-09-21,2023-08-17,01:37:11,09:56:08
9,26,2023-05-23,2023-05-01,16:53:07,22:53:01
1,477,2023-04-01,2023-08-22,06:12:52,04:45:14
1,294,2023-11-26,2023-09-22,02:40:23,23:59:46
1,707,2023-06-08,2023-06-27,05:44:37,19:39:47
17,151,2023-11-09,2023-07-26,13:50:36,21:01:08
17,394,2023-12-28,2023-10-03,09:34:18,01:59:50
15,510,2023-01-05,2023-09-22,01:36:26,10:38:51
16,700,2023-09-30,2023-09-16,15:51:06,04:06:40
3,972,2023-05-27,2023-11-02,16:57:16,09:37:26
3,437,2023-11-29,2023-06-07,15:32:28,15:26:42
11,19,2023-08-01,2023-01-05,04:25:17,12:13:55
8,985,2023-02-15,2023-01-31,21:07:59,04:16:56
13,966,2023-08-17,2023-09-05,13:34:11,19:55:37
4,630,2023-02-19,2023-05-25,16:20:01,03:19:42
20,593,2023-02-12,2023-04-05,12:59:58,09:31:26
17,620,2023-08-09,2023-11-26,06:29:37,17:14:46
19,432,2023-08-21,2023-02-14,11:27:07,07:48:18
5,711,2022-12-31,2023-09-22,21:19:55,06:39:09
20,20,2023-09-08,2023-10-04,04:52:11,14:48:01
10,844,2023-12-20,2023-06-27,16:17:46,07:37:19
15,571,2023-01-23,2023-08-19,05:26:11,09:19:50
5,873,2023-02-05,2023-12-21,04:51:31,09:38:54
18,99,2023-08-21,2023-11-13,21:02:41,21:03:24
3,376,2023-01-09,2023-02-08,15:42:32,11:06:04
7,542,2023-06-17,2023-02-09,10:46:52,01:17:38
9,123,2023-08-18,2023-02-08,17:12:43,21:28:09
4,189,2023-10-01,2023-08-05,17:47:10,02:38:54
19,462,2023-04-26,2023-10-01,21:02:22,19:28:26
20,7,2023-01-05,2023-03-31,16:31:02,13:04:44
5,193,2023-05-17,2023-08-29,18:52:28,18:13:26
17,379,2023-08-20,2023-06-25,15:04:56,17:53:09
6,153,2023-07-23,2023-02-14,21:07:57,14:14:38
13,565,2023-03-28,2023-11-01,02:18:15,23:57:59
10,393,2023-09-06,2023-04-12,17:21:58,08:07:16
5,987,2023-02-19,2023-12-18,03:12:02,07:49:10
12,189,2023-04-16,2023-07-30,15:59:36,15:11:38
11,173,2023-01-02,2023-08-23,15:50:05,10:27:06
10,394,2023-01-04,2023-08-30,00:59:50,22:41:31
14,288,2023-05-22,2023-08-01,09:15:11,04:55:27
16,347,2023-01-27,2023-04-21,06:15:24,07:50:10
18,342,2023-08-15,2023-12-23,17:56:39,10:51:38
18,303,2023-04-02,2023-07-29,07:31:38,19:00:48
16,787,2023-09-15,2023-09-10,14:35:15,08:38:13
20,891,2023-11-08,2023-10-05,20:43:49,12:53:00
5,686,2023-08-03,2023-08-13,10:54:33,04:04:28
5,332,2023-06-10,2023-03-12,21:21:41,04:26:09
11,195,2023-08-30,2023-02-27,00:30:47,23:01:15
20,53,2023-04-29,2023-10-08,05:15:50,19:58:11
1,678,2023-10-01,2023-08-03,21:13:58,15:34:56
17,742,2023-02-03,2023-04-02,23:29:40,21:49:04
1,885,2023-11-10,2023-08-29,06:19:53,14:40:48
15,676,2023-04-05,2023-07-07,15:36:21,10:18:56
2,417,2023-12-23,2023-04-25,21:40:47,09:17:07
2,602,2023-07-30,2023-10-03,12:54:35,02:57:52
14,365,2023-06-24,2023-04-15,11:54:09,10:51:52
17,959,2023-11-02,2023-11-26,09:45:23,08:35:16
6,580,2023-03-09,2023-08-22,20:20:26,04:25:29
5,409,2023-10-24,2023-05-12,10:20:56,20:10:32
13,120,2023-05-05,2023-11-10,18:04:57,21:06:56
6,645,2023-01-31,2023-07-05,16:26:53,01:31:34
20,883,2023-08-31,2023-11-03,14:41:36,23:27:30
7,674,2023-08-22,2023-11-10,21:22:30,20:02:15
13,297,2023-08-16,2023-01-28,21:55:30,04:39:25
3,451,2023-09-01,2023-05-28,19:12:45,06:59:30
10,171,2023-12-16,2023-05-01,20:56:39,23:10:22
20,533,2023-03-13,2023-06-11,00:10:06,21:27:22
12,133,2023-07-23,2023-12-27,17:39:06,00:57:26
12,814,2023-07-16,2023-03-20,14:07:27,09:45:48
12,379,2023-07-11,2023-02-15,07:18:21,05:54:29
17,931,2023-10-19,2023-05-18,18:04:43,14:42:37
8,973,2023-02-11,2023-06-14,21:40:02,19:49:49
13,917,2023-06-29,2023-03-13,02:56:50,18:06:58
2,143,2023-08-31,2023-09-19,11:58:04,00:09:40
11,385,2023-07-07,2023-09-01,00:21:41,10:47:45
4,808,2023-05-31,2023-11-08,15:35:53,08:02:42
9,577,2023-02-18,2023-12-05,03:06:30,22:33:48
18,757,2023-10-31,2023-05-01,01:20:25,14:50:04
4,997,2023-01-23,2023-07-23,02:05:48,18:05:41
15,352,2023-05-06,2023-10-20,13:44:37,02:24:03
13,386,2023-10-01,2023-09-20,04:57:56,22:27:22
18,216,2023-02-19,2023-04-03,01:18:59,07:33:04
20,500,2023-07-28,2023-12-03,11:48:42,01:22:38
4,382,2023-06-03,2023-10-24,03:48:57,06:52:08
7,24,2023-06-10,2023-08-03,23:23:06,11:40:57
17,141,2023-01-26,2023-11-17,08:27:22,05:06:03
18,490,2023-03-27,2023-08-28,15:08:59,22:45:35
13,305,2023-01-07,2023-02-11,10:43:05,09:51:10
10,454,2023-05-23,2023-05-29,16:58:14,12:04:40
15,626,2023-08-15,2023-07-26,04:55:24,01:23:41
17,646,2023-11-20,2023-04-17,02:45:21,03:39:19
11,889,2023-05-03,2023-02-19,12:42:42,00:19:19
3,508,2023-02-12,2023-04-29,21:22:37,18:30:26
6,224,2023-12-26,2023-12-17,01:14:32,06:24:26
6,180,2023-09-17,2023-08-23,18:43:50,13:51:57
20,242,2023-03-06,2023-10-01,03:59:42,11:57:50
5,751,2023-01-16,2023-12-22,09:51:38,10:32:04
8,433,2023-02-02,2023-04-26,06:33:52,03:10:26
1,379,2023-09-22,2023-03-19,14:05:12,16:08:56
5,722,2023-01-01,2023-12-14,08:37:53,09:38:33
2,737,2023-04-13,2023-04-14,08:36:01,12:30:58
1,743,2023-09-11,2023-04-13,12:01:25,21:11:01
1,906,2023-11-07,2023-10-26,10:15:59,09:26:28
2,548,2023-03-17,2023-10-02,20:04:15,03:34:12
16,845,2023-10-25,2023-10-31,11:34:14,21:05:56
18,852,2023-01-30,2023-03-04,11:27:24,20:31:08
8,614,2023-10-19,2022-12-31,01:21:54,12:14:10
4,312,2023-02-18,2023-04-08,04:02:31,01:20:08
1,181,2023-10-15,2023-12-20,18:12:04,07:04:24
3,484,2023-02-02,2023-03-22,01:08:52,15:11:12
16,658,2023-10-24,2023-11-04,04:01:23,00:57:13
6,718,2023-10-18,2023-10-22,19:34:33,00:47:15
13,730,2023-06-01,2023-12-11,14:44:55,23:30:33
12,266,2023-03-12,2023-12-25,08:26:18,21:04:02
12,132,2023-08-15,2023-09-04,06:14:15,09:30:17
8,507,2023-07-15,2023-01-09,05:04:23,23:10:27
11,729,2023-08-09,2023-11-04,03:51:29,08:56:32
3,18,2023-02-04,2023-08-21,21:43:01,00:34:38
14,543,2023-07-12,2023-12-27,07:24:05,19:17:03
15,302,2023-07-12,2023-05-06,06:02:16,22:17:43
10,277,2023-11-21,2023-04-15,02:26:49,09:49:43
2,653,2023-04-01,2023-11-05,02:52:33,20:38:30
5,68,2023-07-12,2023-01-26,21:27:14,07:46:45
5,647,2023-06-06,2023-07-10,18:10:53,06:54:02
5,417,2023-02-09,2023-10-18,12:05:36,03:12:15
11,655,2023-03-29,2023-05-11,16:17:25,00:51:29
3,602,2023-09-21,2023-02-20,07:45:36,23:46:33
11,534,2023-01-26,2023-02-01,20:56:11,06:15:02
11,688,2023-11-30,2023-10-11,21:06:27,06:05:28
5,784,2023-08-12,2023-07-16,13:28:56,05:36:52
3,102,2023-12-25,2023-01-29,13:17:43,20:49:36
19,270,2023-11-03,2023-12-27,02:34:59,12:12:49
1,972,2023-12-22,2023-02-26,16:06:04,20:50:58
18,578,2023-07-13,2023-12-16,18:48:57,18:23:07
12,232,2023-01-12,2023-02-17,12:25:38,19:11:26
1,858,2023-08-26,2023-04-24,15:35:34,19:04:22
20,848,2023-05-26,2023-01-06,21:37:57,19:59:53
18,640,2023-12-12,2023-08-10,09:04:38,20:54:51
17,256,2023-01-23,2023-10-13,10:24:05,09:22:21
6,1,2023-08-17,2023-10-06,21:28:15,06:04:41
17,437,2023-10-29,2023-12-10,04:40:07,17:46:39
1,531,2023-05-25,2023-11-28,19:57:33,15:57:18
12,249,2023-04-22,2023-08-21,14:18:17,03:13:19
9,390,2023-01-17,2023-10-21,14:26:03,08:37:07
7,603,2023-09-16,2023-02-22,12:32:37,01:05:48
11,7,2023-03-09,2023-09-04,22:54:42,20:00:26
13,586,2023-04-20,2023-11-09,15:54:59,18:16:33
17,319,2023-06-01,2023-02-08,09:16:38,04:00:18
9,739,2023-07-23,2023-11-05,19:14:14,18:13:01
8,718,2023-11-30,2023-03-14,09:03:38,00:40:33
4,227,2023-07-17,2023-04-17,12:08:06,11:48:58
12,269,2023-09-19,2023-08-06,19:47:17,02:10:02
19,520,2023-10-28,2023-12-12,07:08:57,17:22:51
17,978,2023-09-19,2023-11-03,10:24:50,14:54:21
20,420,2023-08-19,2023-12-26,09:53:02,17:16:56
11,530,2023-02-20,2023-01-23,21:07:45,12:08:48
17,725,2023-08-18,2023-02-22,20:59:31,03:14:21
8,182,2023-08-02,2023-12-15,06:44:33,05:17:30
8,788,2023-02-19,2023-02-03,15:21:21,13:21:29
17,374,2023-09-22,2023-02-16,20:36:42,21:48:15
3,879,2023-07-07,2023-02-21,06:41:00,22:54:20
12,807,2023-02-07,2023-12-03,17:46:42,10:59:48
6,878,2023-11-06,2023-09-04,12:27:38,19:42:02
7,82,2023-09-11,2023-03-03,09:37:16,05:36:32
5,883,2023-08-01,2023-05-02,03:47:32,20:42:16
1,33,2022-12-31,2023-03-17,02:32:06,10:56:24
11,242,2023-07-02,2023-05-27,14:40:05,12:24:20
8,825,2023-08-09,2023-10-27,20:41:32,07:10:35
5,595,2023-05-15,2023-01-21,17:29:21,09:58:07
18,515,2023-07-19,2023-02-11,13:16:31,22:30:34
2,635,2023-09-24,2023-08-14,04:41:57,22:11:40
19,447,2023-05-29,2023-04-17,06:31:32,17:51:22
2,55,2023-06-01,2023-06-09,15:44:16,21:31:14
8,575,2023-03-21,2023-05-15,11:24:02,16:13:20
12,684,2023-04-10,2023-09-17,16:21:06,00:33:55
19,208,2023-09-21,2023-10-30,07:15:04,16:24:08
19,100,2023-01-19,2023-04-30,02:47:21,04:17:56
8,818,2023-11-09,2023-05-20,04:31:27,23:30:28
12,845,2023-06-05,2023-01-19,14:29:36,20:16:57
13,146,2023-10-04,2023-03-12,21:04:15,04:12:17
19,946,2023-07-29,2023-04-26,20:01:30,13:22:14
6,425,2023-08-15,2023-06-14,05:38:10,19:30:37
11,702,2023-03-04,2023-12-01,00:17:49,08:22:25
12,563,2023-09-24,2023-08-31,15:12:00,23:15:47
2,892,2023-11-11,2023-01-16,21:48:41,15:43:49
13,848,2023-05-24,2023-04-12,20:39:10,15:53:04
16,629,2023-10-17,2023-01-05,12:55:52,20:25:41
15,406,2023-01-24,2023-07-07,04:23:44,21:19:51
1,152,2023-01-03,2023-01-25,03:47:31,10:28:41
4,450,2023-08-24,2023-09-13,03:17:00,14:30:47
3,223,2023-02-08,2023-11-01,06:34:13,07:31:32
14,341,2023-06-23,2023-03-28,02:51:56,07:18:44
10,990,2023-04-13,2023-01-24,20:59:49,06:55:40
20,373,2023-04-26,2023-10-31,09:38:29,10:51:57
20,225,2023-06-11,2023-12-13,02:54:51,15:26:58
5,531,2023-12-09,2023-01-18,08:43:12,03:37:18
11,893,2023-09-04,2023-12-04,13:04:18,15:49:44
10,199,2023-09-29,2023-04-04,10:04:33,19:19:15
10,981,2023-01-18,2023-03-03,02:45:09,12:17:06
19,948,2023-08-06,2023-02-07,22:47:37,02:02:39
15,439,2023-01-12,2023-11-06,10:11:27,00:34:22
3,772,2023-02-27,2023-10-31,03:50:12,15:15:08
10,124,2023-03-28,2023-12-13,10:26:40,19:52:40
11,829,2023-05-24,2023-04-22,12:12:22,23:18:01
12,667,2023-01-10,2023-07-22,09:08:08,01:18:58
7,927,2023-06-17,2023-10-17,07:32:12,08:59:27
5,607,2023-05-24,2023-10-16,21:59:15,03:17:25
5,899,2023-07-28,2023-05-21,22:34:24,00:08:46
20,265,2023-05-28,2022-12-29,05:22:55,03:33:07
6,191,2023-06-02,2023-03-28,17:35:11,10:50:22
9,962,2023-10-13,2023-11-23,10:27:50,07:05:39
18,751,2023-12-21,2023-12-09,23:47:23,20:49:09
14,575,2023-10-15,2023-06-08,01:10:45,15:23:22
1,455,2023-07-27,2023-06-08,20:35:25,10:20:54
7,172,2023-06-03,2023-04-29,14:31:12,08:20:07
4,344,2023-08-28,2023-04-19,23:07:40,21:24:37
16,770,2023-02-24,2023-06-09,05:01:18,13:13:30
14,869,2023-08-16,2023-04-26,21:35:15,00:09:36
1,274,2023-12-14,2023-06-28,11:52:48,20:00:31
5,10,2023-10-04,2023-04-05,01:16:15,19:02:41
16,777,2023-10-30,2023-03-30,06:56:57,11:57:07
4,646,2023-07-12,2023-08-30,18:33:48,19:58:36
7,377,2023-03-17,2023-04-30,17:01:58,09:14:19
10,903,2023-04-22,2023-05-17,10:18:17,01:54:22
4,89,2023-09-12,2023-05-08,00:29:45,06:57:51
8,894,2023-02-02,2023-02-06,10:10:58,07:14:59
18,285,2023-03-04,2023-11-30,23:22:50,10:06:15
13,324,2023-07-04,2023-02-26,00:06:38,00:48:22
3,778,2023-01-21,2023-07-20,09:02:47,03:32:34
5,407,2023-11-05,2023-10-12,22:10:27,15:55:23
4,283,2023-06-13,2023-11-14,02:38:33,18:48:40
11,552,2023-02-03,2023-04-17,14:33:43,13:25:21
1,779,2023-08-31,2023-02-24,20:16:02,04:19:02
6,350,2023-01-22,2023-08-01,05:50:50,16:34:51
20,501,2023-10-13,2023-02-19,16:28:09,21:14:16
16,563,2023-04-22,2023-02-02,20:24:23,12:54:12
14,540,2023-05-14,2023-09-05,04:32:18,07:35:25
3,723,2023-08-12,2023-06-03,10:40:22,10:34:58
1,787,2023-11-09,2023-03-01,08:47:35,14:05:38
17,49,2023-08-12,2023-04-06,00:32:00,23:25:02
14,717,2023-04-10,2023-10-27,16:52:53,04:48:21
8,404,2023-05-12,2023-05-22,04:23:49,08:39:15
19,962,2023-05-24,2023-10-04,01:33:16,03:20:53
8,22,2023-03-18,2023-04-09,20:37:13,16:48:48
4,737,2023-06-20,2023-09-03,22:39:09,00:16:36
17,12,2023-11-10,2023-03-08,07:55:02,12:41:17
7,10,2023-06-24,2023-05-28,00:07:57,16:47:49
11,366,2023-11-08,2023-07-04,17:13:46,07:35:17
12,853,2023-07-18,2023-07-31,20:26:11,20:41:50
17,988,2023-02-10,2023-11-20,00:30:53,05:45:56
9,428,2023-08-10,2023-07-26,00:41:54,12:26:36
13,995,2023-11-09,2023-03-25,14:06:15,10:40:44
12,36,2023-06-21,2023-10-17,15:04:58,08:15:13
16,906,2023-02-20,2023-12-28,13:46:23,06:28:41
9,507,2023-12-09,2022-12-30,08:07:32,06:34:44
1,590,2023-07-19,2023-10-10,11:15:51,14:21:27
17,42,2023-11-28,2023-12-22,16:54:55,04:02:52
15,306,2023-10-02,2023-05-16,06:15:03,19:57:41
4,887,2023-11-14,2023-09-25,03:51:35,21:37:39
13,847,2023-06-06,2023-09-25,10:04:47,00:15:01
